species,redlistCategory,type,prob.ext,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
Rostroraja_alba,Least Concern,rays,0.060625,-0.01906237,-0.000639605,0.027592976,-0.004216594,-0.003032676,-0.003562616,-0.000469414,0.002010884,-0.000544097,-0.005223987,-0.003972851,-0.000759305,-0.001464294,0.001879525,-0.001107626,0.000635066,0.001850045,0.000640114,0.001107843,-0.000472827,0.000401981,0.000134307,0.000350177,-0.000300395,-0.000264081,0.000361035,0.000433907,-1.57E-18
Taeniura_grabata,Critically Endangered,skates,0.97,-0.016194763,-0.017032065,0.015883367,-0.000107499,-0.001617615,-0.000748769,0.001078347,0.003514109,0.001928404,0.001080015,-0.002458308,0.00184283,-0.002157681,0.001317079,0.001858632,0.001189526,-0.000937853,-0.000175688,-0.002175192,-0.000622128,0.002069374,-0.000369027,-0.001196459,0.000141935,-0.000218464,-0.000166198,-5.13E-05,-4.65E-18
Taeniurops_meyeni,Least Concern,skates,0.060625,-0.01745767,-0.010455696,0.014441024,0.00322564,0.005134593,-0.006376548,-0.004425629,0.006097743,-0.000685314,0.003472192,-0.001860518,0.001275736,-0.000389426,-0.001461291,0.002294353,-0.001654281,-0.000192158,-0.001879106,-0.000862231,0.001279782,-0.000504569,0.001237233,-0.000298297,-0.000379396,0.000377328,0.000555374,-7.32E-05,-1.78E-18
Torpedo_nobiliana_mask,Endangered,skates,0.485,-0.021562898,-0.000385707,0.007205098,-0.000927393,-0.005337781,0.000839312,-0.007340059,0.002657707,0.000755007,0.002234906,0.00501645,0.004556923,0.00022313,-0.000988388,-0.005344779,-0.002427061,0.000547286,-0.001764922,-0.001806313,-0.0016016,-0.00051341,-0.000672752,0.000284176,0.000187731,9.15E-05,-1.55E-05,6.11E-05,-1.69E-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Critically Endangered,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Endangered,,7,,0.607142857,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vulnerable,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Near Threatened,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Least Concern,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data Deficient,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
