species,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Stenella_coeruleoalba_mask,Least Concern,0.060625,0.004937117,0.001076711,-0.00300644,-0.000655469,-0.001101512,-0.00317872,-0.000115282,0.000454608,-0.000597128,4.09E-06,-0.000748425,0.00099872,0.000191285,0.000554624,0.000991568,-0.000359642,0.000419628,0.00044092,0.000222205,-0.000109648,-6.58E-05,-0.000267626,1.10E-05,0.000480467,-0.000186566,-0.0002449,1.26E-05,2.28E-05,-3.52E-18
Stenella_frontalis_mask,Least Concern,0.060625,-0.003903205,0.001848432,-0.000772625,-0.001304522,-0.002271976,-0.000389744,-0.000499771,-0.000238255,0.001170256,-0.000272029,-0.001449175,0.000848504,0.001053163,0.000451535,0.000240172,-0.000240441,0.000459757,0.000120025,-0.000468501,0.000129663,-4.04E-05,-6.06E-05,-0.000111823,-0.000284641,-0.00010144,0.000438918,4.30E-05,6.21E-05,-2.82E-18
Stenella_longirostris_mask,Least Concern,0.060625,0.006695309,0.006503036,-0.00161332,-0.005714227,0.00046498,-0.000325962,-0.000162679,0.001289436,-0.000578994,-0.000321609,0.000921853,-0.000370465,-0.000209275,0.000590186,0.000911086,0.000533417,-0.000258872,6.74E-05,0.000270236,-0.000566499,1.47E-05,0.000273111,-2.05E-05,-0.000300087,0.000162476,6.06E-05,7.99E-05,-6.16E-06,-3.00E-18
Steno_bredanensis_mask,Least Concern,0.060625,-0.007402754,-0.003137661,0.008426796,0.002149818,0.000596256,-0.002097953,-0.00210876,-0.001262326,-0.001308706,-0.001935571,0.00084066,-0.000137115,0.000126267,0.000177733,-7.18E-05,-0.000196023,0.000138294,0.00035261,0.00030942,-8.51E-05,-0.000125809,0.000272357,-0.000187075,-6.92E-06,0.000156756,3.44E-05,-6.44E-05,0.000147183,-2.79E-18
Tursiops_aduncus_mask,Near Threatened,0.12125,-0.007497555,-0.009509425,-0.00354552,-8.14E-05,-1.44E-05,0.001719683,-0.00038801,-0.000349226,-0.00013256,-0.001244204,0.000717839,-0.000447811,-0.000166424,5.83E-06,0.000537366,0.000535436,-0.000203418,-0.000193846,-0.000778504,-6.85E-05,-0.000448876,-0.000112094,-0.000316317,0.000138239,-0.000105784,-0.000106437,0.000151721,-1.89E-05,-3.26E-18
Tursiops_truncatus_mask,Vulnerable,0.2425,0.007839441,0.006592137,0.001745356,0.002891753,0.004426512,0.003507126,0.001685958,-0.00100195,0.000199418,-0.00217727,-0.000980394,0.000629137,-0.000134946,-0.000357802,0.000373558,-0.000190234,0.000125562,8.94E-05,0.000252503,2.01E-05,-9.31E-05,9.68E-05,0.000165386,-3.03E-05,-0.000105792,-1.07E-05,0.000123215,-5.53E-06,-3.64E-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Critically Endangered,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Endangered,,2,,0.206896552,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vulnerable,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Near Threatened,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Least Concern,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
