species ,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
Mesoplodon_mirus_mask,Least Concern,0.060625,0.006624481,-0.001728324,0.001018186,0.002129673,-0.000352721,-0.000181304,0.000469908,0.000411454,-0.00048126,0.000598508,-0.001174872,-0.00063246,-9.15E-05,-0.000396228,-0.000469276,-0.000795851,0.000963509,0.000285393,0.000420123,0.00064529,0.000132135,0.000299645,0.000105082,5.11E-05,-1.92E-05,1.35E-05,-1.76E-05,-8.74E-05,1.13E-06,0.000118112,-0.000104442,8.33E-05,0.000101529,6.96E-05,-1.83E-05,-3.59E-05,-0.000135107,-8.11E-05,-1.82E-05,3.92E-05,8.60E-05,-5.95E-05,-5.75E-06,-5.41E-05,-1.96E-05,-1.33E-05,7.21E-06,-6.95E-06
Mesoplodon_perrini_mask,Least Concern,0.060625,0.006124648,0.003497938,0.001096658,0.000275133,-0.000428438,0.003177071,0.001127377,-0.001606888,-0.000177177,-0.000310888,-0.000582579,0.000598939,-0.000471392,-0.000378173,0.000246988,0.000207551,-0.000189969,-0.000232592,-0.000211352,-0.000100248,4.26E-05,1.75E-05,-0.000222429,0.00024228,-0.000128263,6.20E-05,0.000113234,-9.86E-05,-9.95E-05,1.16E-06,5.94E-06,-0.000248069,4.99E-05,-0.0001208,-5.32E-05,0.000138998,4.48E-05,-6.21E-05,-5.71E-06,4.34E-05,-5.14E-06,7.71E-06,5.05E-05,-5.48E-06,-7.87E-05,-1.45E-05,-1.34E-05,1.93E-05
Mesoplodon_peruvianus_mask,Least Concern,0.060625,0.00725137,0.003401574,0.000936215,-0.000359241,0.000760124,0.002265688,0.000822697,-0.001431374,0.00106365,0.000374755,-0.000124048,-0.00110537,-0.000446216,-0.000157993,-0.000240654,0.000414352,-0.000256579,-3.61E-05,7.36E-05,6.22E-05,-6.95E-05,-0.000171694,-0.000209347,-0.000297199,0.000365648,9.16E-05,-9.27E-06,0.000331899,-0.000183581,-0.000216564,-0.000157033,0.000221437,0.000176534,0.000144906,7.44E-05,-4.94E-05,6.13E-05,-8.68E-05,2.58E-06,-4.46E-05,8.16E-05,-3.07E-05,8.10E-05,3.09E-05,1.35E-05,4.13E-05,2.01E-06,3.63E-06
Mesoplodon_stejnegeri_mask,Least Concern,0.060625,0.007492976,0.001947992,0.001499392,0.000996215,0.000235789,0.002473086,0.000384624,-0.001209655,0.000580264,6.91E-05,-0.000634775,0.00014231,-8.44E-05,2.20E-05,-2.77E-05,0.000234522,-0.000647004,-8.11E-05,-0.000201396,-0.000109169,3.98E-05,0.000300144,7.20E-05,-9.39E-05,4.98E-05,0.000156702,3.16E-05,-0.000341831,0.000109384,-0.000333595,-4.81E-05,-7.84E-05,0.000192633,3.53E-05,-0.000114704,7.26E-05,4.89E-06,6.36E-05,4.27E-05,7.16E-05,-3.59E-05,5.85E-05,-4.21E-06,2.55E-05,-1.20E-05,-2.88E-06,-2.72E-05,-1.88E-06
Mesoplodon_traversii_mask,Vulnerable,0.2425,0.011054232,0.003180716,0.003164984,-0.000582617,0.000712047,0.002712837,0.001793825,0.000676857,0.000941419,-0.001402532,-0.000837383,-0.000255136,0.000531323,0.000540454,-0.000238407,0.000324911,-0.00087814,-0.000317965,-0.000804572,-0.000735767,-5.80E-05,-8.97E-06,-2.11E-05,-0.000629858,-4.87E-05,0.000373487,-3.29E-06,0.000262481,5.78E-05,0.000134961,0.000113152,-0.000223534,-0.000282068,-0.000117323,-4.19E-06,0.000306368,5.16E-06,5.21E-05,0.000136515,-4.76E-05,-6.00E-05,9.56E-06,3.06E-05,-9.33E-05,4.50E-05,4.67E-05,2.66E-05,-1.13E-05
Monodon_monoceros_mask,Least Concern,0.060625,0.014458833,-0.000187194,0.007019602,0.001983551,0.003762143,0.001722346,-0.001494514,0.002782288,-0.001760471,0.002731421,0.002384358,0.000838606,0.00146838,0.002830672,-0.000356526,0.000644715,2.15E-05,0.000541476,6.20E-05,0.000173669,-0.001319305,0.000412735,0.000533777,0.00028385,0.000216788,0.00026523,0.000238266,0.000242411,2.87E-05,-5.86E-05,6.23E-05,5.88E-05,-0.000222262,-7.77E-06,9.04E-05,-2.24E-05,4.34E-05,-1.29E-05,-2.78E-05,4.05E-05,0.000104776,0.000103454,-2.75E-05,-1.67E-05,-4.98E-05,-3.84E-05,6.50E-06,2.26E-05
Neophocaena_phocaenoides_mask,Vulnerable,0.2425,-0.002960434,-0.007323415,0.002217361,-0.001439991,0.00096131,-0.002950304,0.001819461,-0.000900877,0.001871549,-0.000124666,-0.000856446,-0.000348699,0.000388785,-0.000731552,-0.000653832,-0.000644785,0.000495044,0.000614582,0.001051318,-0.000476706,-0.000865238,-0.000337247,-0.000457025,3.06E-05,0.000332271,-0.000245091,-0.000320512,-0.000342584,0.000343392,7.18E-05,5.14E-05,-9.21E-05,-0.00011099,-0.000280672,0.000135313,-0.000107487,-1.60E-05,4.24E-05,2.26E-05,0.000141282,0.000116278,1.72E-05,9.98E-06,-6.08E-06,2.30E-05,1.98E-05,5.09E-06,2.03E-06
Orcaella_brevirostris_mask,Endangered,0.485,-0.006073143,-0.004172723,0.002370275,0.001529597,0.00149454,-0.001864585,0.000481164,-0.001245371,0.001864882,8.82E-05,-0.000594519,-0.00065514,0.001126055,-0.001231985,0.000544603,-0.000555112,0.000297354,-0.000105876,0.000138698,6.61E-05,-0.000380919,-0.000463251,0.000132461,6.63E-05,0.000165983,0.000564361,-0.000259226,-7.16E-05,0.000360588,-4.40E-05,0.000109527,4.23E-06,-0.000300949,0.000118921,-3.64E-05,5.65E-06,0.000124725,0.000137917,3.36E-05,-2.39E-05,5.68E-05,5.62E-05,-4.17E-05,5.30E-05,5.26E-05,1.48E-05,1.27E-05,-1.56E-05
Orcaella_heinsohni_mask,Vulnerable,0.2425,0.003528672,-0.001733535,0.000697446,-0.001925653,0.00065915,-0.002974821,0.001707925,0.001283171,0.001835755,0.000927383,0.000396836,0.000408075,-0.000120764,-0.000539688,-4.49E-06,-4.83E-05,-0.000689655,0.00076765,-0.000162257,0.00043755,-0.000291479,-0.000538029,0.00068519,0.000682658,-3.05E-05,0.000382014,0.000148207,-5.66E-05,-0.000345928,-0.000110708,0.000210608,-0.000290706,-4.12E-06,0.000255785,3.20E-05,-0.00012996,-5.49E-05,4.62E-05,-0.000166605,-3.24E-05,-1.43E-05,-0.000136656,9.64E-06,-2.07E-05,1.83E-05,3.00E-05,8.70E-06,-1.82E-05
Orcinus_orca_mask,Least Concern,0.060625,-0.012443459,0.014617411,-0.008546243,-0.006242217,0.000540664,-0.000160738,-0.006240903,0.001604184,-0.000889972,-0.000634244,-0.003750367,-0.000577064,0.002352512,0.000227789,-0.000430045,-0.000284771,0.001066256,-0.000271115,-3.65E-06,-0.000906294,-0.000674881,-0.000577459,0.000276553,9.78E-05,-0.000276888,0.000139853,5.65E-06,5.45E-06,7.33E-05,-0.000160554,-0.000128324,-0.000164752,-1.79E-05,5.87E-05,-7.45E-05,-3.72E-05,8.67E-05,-2.80E-05,-0.000118209,-3.97E-05,-2.64E-05,-1.72E-05,4.13E-05,-1.64E-05,-6.50E-05,1.74E-05,-1.62E-06,-3.02E-06
Peponocephala_electra_mask,Least Concern,0.060625,-0.014378795,0.000807658,0.004381916,0.001791757,-0.000925179,0.000300626,0.004224593,0.001517683,-0.001640447,-0.00092036,-0.000140494,0.000507957,0.000325075,-0.001078626,-0.000805036,0.000251626,0.000375594,-0.000242892,0.000385259,-0.001158326,1.58E-07,0.000470557,7.30E-05,-0.000166443,-0.000393492,-0.000460067,0.000231656,0.000244807,-0.000124431,-0.000258764,7.21E-07,9.94E-05,-0.000524123,0.00019472,0.00012609,-0.000209985,-7.22E-05,-0.000232288,-4.49E-05,0.000105089,-6.58E-05,3.32E-05,-6.05E-05,-3.09E-05,3.73E-05,-4.50E-06,-4.77E-05,-9.27E-06
Phocoena_dioptrica_mask,Least Concern,0.060625,0.00622341,0.00310756,-0.003026062,-0.005054426,0.001432564,-0.003046108,0.001172346,0.00111963,0.001800287,-0.00057046,0.00151855,0.000477634,-0.000288872,0.000132948,0.001666459,0.00041501,-5.58E-05,5.86E-05,-0.000183136,0.00025358,0.000259945,-0.000273969,-7.72E-05,9.07E-05,-0.000314955,-3.54E-05,-0.000164633,-0.000159796,3.06E-05,0.00024677,0.000106504,-0.000170187,-0.000121944,-4.13E-05,2.65E-05,2.65E-05,1.89E-05,-0.000113025,-0.000144117,-3.21E-05,-1.88E-05,0.000112555,3.68E-05,3.55E-05,-1.30E-05,-2.11E-05,-8.57E-06,-3.97E-06
Phocoena_phocoena_mask,Least Concern,0.060625,0.005639811,0.003178991,-0.002787215,-0.004686488,0.001500977,-0.003091062,0.001128352,0.000819402,0.001715449,-0.000679698,0.001622692,0.000494784,-5.16E-05,-0.000303676,0.00169098,0.000273286,0.000286905,0.000107116,-0.00014597,0.000297473,0.000304271,0.000104535,-0.000136238,4.27E-05,-0.000242365,-2.57E-05,-0.000169972,-0.000146093,-1.15E-05,0.000268691,0.00017611,-4.11E-05,-9.57E-05,-6.60E-06,0.000126961,4.96E-07,1.74E-05,-0.000146214,-0.000165517,5.50E-05,-2.04E-05,6.82E-05,4.06E-06,1.40E-05,-3.97E-05,-1.61E-05,-2.27E-07,2.77E-06
Phocoena_sinus_mask,Critically Endangered,0.97,0.001319543,0.007269343,-0.002999227,-0.005255519,0.000377158,-0.003114841,-0.000679932,0.001139289,0.000954966,-0.001099804,0.000789134,0.000791001,-0.000499273,-0.000332689,0.000610323,0.000970123,0.000724132,0.001056203,6.32E-05,0.0004621,9.93E-06,0.001226979,-0.000292623,-0.000324963,-0.000189564,9.38E-05,0.000542503,0.000139038,0.000379438,-0.00028286,-0.000114484,-0.000281405,-7.48E-05,-9.55E-05,-0.000179521,-9.58E-05,-0.000174873,-3.34E-05,0.000294081,3.50E-05,-3.23E-06,-4.77E-05,8.13E-05,2.19E-05,2.90E-06,4.04E-05,4.42E-06,8.15E-06
